"","lambda","mu","prob","meanN","meanNb"
"2968",0.00301,2.29,-43.7371038347035,1.15711798473737,1.13279144786705
"2969",0.00401,2.29,-43.9624165946596,1.20617525354356,1.17481532484097
"2970",0.00501,2.29,-44.1741076589006,1.25396521247723,1.21595913530941
"2971",0.00601,2.29,-44.3735650534397,1.30060343668496,1.25628462494219
"2972",0.00701,2.29,-44.5619763599092,1.34617094723641,1.29583120487893
"2973",0.00801,2.29,-44.7403599171081,1.39072007957643,1.33461901504659
"2974",0.00901,2.29,-44.9095922824068,1.43428087483671,1.37265310650464
"2975",0.01001,2.29,-45.0704319352755,1.47686734573063,1.40992795033159
"2976",0.01101,2.29,-45.2235393388231,1.5184830483003,1.44643162453929
"2977",0.01201,2.29,-45.3694936325286,1.55912564988404,1.48214930933013
"2978",0.01301,2.29,-45.508806339835,1.59879041980404,1.51706596305632
"2979",0.01401,2.29,-45.6419325212816,1.63747272265666,1.55116820871481
"2980",0.01501,2.29,-45.7692797994602,1.67516966969143,1.58444554179746
"2981",0.01601,2.29,-45.8912156457346,1.7118811053304,1.61689099843427
"2982",0.01701,2.29,-46.0080732671648,1.74761009638541,1.6485014201391
"2983",0.01801,2.29,-46.1201563769417,1.78236306756269,1.67927743395609
"2984",0.01901,2.29,-46.2277430795348,1.81614969861225,1.70922324421267
"2985",0.02001,2.29,-46.3310890558793,1.84898267147539,1.73834630975781
"2986",0.02101,2.29,-46.4304301953064,1.88087733246904,1.76665696098623
"2987",0.02201,2.29,-46.5259847893669,1.91185131564383,1.79416799494916
"2988",0.02301,2.29,-46.6179553774489,1.94192415878709,1.82089427439122
"2989",0.02401,2.29,-46.7065303141802,1.97111693254343,1.84685234720095
"2990",0.02501,2.29,-46.7918851130635,1.99945189511566,1.87206009596219
"2991",1e-05,2.31,-43.0204854576384,1.00055038517372,1.0004594355481
"2992",0.00101,2.31,-43.2971852362956,1.05453451468124,1.04573678076753
"2993",0.00201,2.31,-43.554579204018,1.10663807409477,1.08980193666637
"2994",0.00301,2.31,-43.7948692982903,1.15711798473737,1.13279144786705
"2995",0.00401,2.31,-44.0199455296549,1.20617525354356,1.17481532484097
"2996",0.00501,2.31,-44.2314257984038,1.25396521247723,1.21595913530941
"2997",0.00601,2.31,-44.430693901766,1.30060343668496,1.25628462494219
"2998",0.00701,2.31,-44.6189341037835,1.34617094723641,1.29583120487893
"2999",0.00801,2.31,-44.7971621032118,1.39072007957643,1.33461901504659
"3000",0.00901,2.31,-44.9662523290425,1.43428087483671,1.37265310650464
"3001",0.01001,2.31,-45.1269615240384,1.47686734573063,1.40992795033159
"3002",0.01101,2.31,-45.279948718163,1.5184830483003,1.44643162453929
"3003",0.01201,2.31,-45.4257918557949,1.55912564988404,1.48214930933013
"3004",0.01301,2.31,-45.5650014540533,1.59879041980404,1.51706596305632
"3005",0.01401,2.31,-45.6980317184876,1.63747272265666,1.55116820871481
"3006",0.01501,2.31,-45.8252895392879,1.67516966969143,1.58444554179746
"3007",0.01601,2.31,-45.9471417557097,1.7118811053304,1.61689099843427
"3008",0.01701,2.31,-46.0639210255371,1.74761009638541,1.6485014201391
"3009",0.01801,2.31,-46.1759305817049,1.78236306756269,1.67927743395609
"3010",0.01901,2.31,-46.2834481064171,1.81614969861225,1.70922324421267
"3011",0.02001,2.31,-46.3867289074431,1.84898267147539,1.73834630975781
"3012",0.02101,2.31,-46.4860085428162,1.88087733246904,1.76665696098623
"3013",0.02201,2.31,-46.5815050087258,1.91185131564383,1.79416799494916
"3014",0.02301,2.31,-46.6734205802292,1.94192415878709,1.82089427439122
"3015",0.02401,2.31,-46.7619433745659,1.97111693254343,1.84685234720095
"3016",0.02501,2.31,-46.8472486913612,1.99945189511566,1.87206009596219
"3017",1e-05,2.33,-43.0802262846193,1.00055038517372,1.0004594355481
"3018",0.00101,2.33,-43.3565787285101,1.05453451468124,1.04573678076753
"3019",0.00201,2.33,-43.6136725915268,1.10663807409477,1.08980193666637
"3020",0.00301,2.33,-43.8537002585696,1.15711798473737,1.13279144786705
"3021",0.00401,2.33,-44.0785446564037,1.20617525354356,1.17481532484097
"3022",0.00501,2.33,-44.2898183161015,1.25396521247723,1.21595913530941
"3023",0.00601,2.33,-44.4889008893975,1.30060343668496,1.25628462494219
"3024",0.00701,2.33,-44.6769733881383,1.34617094723641,1.29583120487893
"3025",0.00801,2.33,-44.855048923112,1.39072007957643,1.33461901504659
"3026",0.00901,2.33,-45.0239998369411,1.43428087483671,1.37265310650464
"3027",0.01001,2.33,-45.1845811699797,1.47686734573063,1.40992795033159
"3028",0.01101,2.33,-45.3374505473641,1.5184830483003,1.44643162453929
"3029",0.01201,2.33,-45.4831847419989,1.55912564988404,1.48214930933013
"3030",0.01301,2.33,-45.6222932845828,1.59879041980404,1.51706596305632
"3031",0.01401,2.33,-45.7552295425933,1.63747272265666,1.55116820871481
"3032",0.01501,2.33,-45.882399688316,1.67516966969143,1.58444554179746
"3033",0.01601,2.33,-46.004169941416,1.7118811053304,1.61689099843427
"3034",0.01701,2.33,-46.1208724212822,1.74761009638541,1.6485014201391
"3035",0.01801,2.33,-46.232809890111,1.78236306756269,1.67927743395609
"3036",0.01901,2.33,-46.3402596162118,1.81614969861225,1.70922324421267
"3037",0.02001,2.33,-46.4434765415878,1.84898267147539,1.73834630975781
"3038",0.02101,2.33,-46.5426958995462,1.88087733246904,1.76665696098623
"3039",0.02201,2.33,-46.6381353967758,1.91185131564383,1.79416799494916
"3040",0.02301,2.33,-46.7299970492494,1.94192415878709,1.82089427439122
