"","lambda","mu","prob","meanN","meanNb"
"1618",0.361,0.63,-17.157863317279,3.36991050260609,2.96564927522928
"1619",0.371,0.63,-17.162824328415,3.3748149510689,2.96980854931581
"1620",0.381,0.63,-17.1675404038788,3.3794739511525,2.97375977356102
"1621",0.391,0.63,-17.1720292315178,3.38390545752016,2.97751815906664
"1622",0.401,0.63,-17.1763068374761,3.38812571729301,2.981097471072
"1623",0.411,0.63,-17.1803877767024,3.39214946810312,2.984510196566
"1624",0.421,0.63,-17.1842852978559,3.39599010923546,2.98776768913648
"1625",0.431,0.63,-17.1880114865344,3.39965985002562,2.99088029457996
"1626",0.441,0.63,-17.1915773900743,3.4031698389599,2.99385746018529
"1627",0.451,0.63,-17.1949931266292,3.40653027634042,2.9967078301122
"1628",0.461,0.63,-17.1982679807891,3.40975051290327,2.99943932888374
"1629",0.471,0.63,-17.2014104876369,3.41283913638957,3.00205923468435
"1630",0.481,0.63,-17.2044285068398,3.41580404775072,3.00457424388534
"1631",0.491,0.63,-17.2073292881281,3.41865252840623,3.00699052799775
"1632",0.501,0.63,-17.2101195293042,3.42139129975549,3.00931378406882
"1633",0.001,0.65,-14.905378127692,1.05617595746841,1.0430779727388
"1634",0.011,0.65,-15.4142494081626,1.53506957185664,1.42587058996679
"1635",0.021,0.65,-15.7713532556456,1.90594096258846,1.73239708662601
"1636",0.031,0.65,-16.0262796075243,2.18290775499153,1.96379350251501
"1637",0.041,0.65,-16.213937951197,2.38862263654166,2.13648470400638
"1638",0.051,0.65,-16.356499712763,2.5443759950661,2.26757735707534
"1639",0.061,0.65,-16.467914591565,2.66524196047002,2.36947288237684
"1640",0.071,0.65,-16.557128930564,2.76127085868732,2.45051990338865
"1641",0.081,0.65,-16.6300507883633,2.83917455036884,2.5163225905469
"1642",0.091,0.65,-16.6907029882035,2.90352456549076,2.57071014479869
"1643",0.101,0.65,-16.7419044613597,2.95751085609322,2.61636027920014
"1644",0.111,0.65,-16.7856823794512,3.0034135905196,2.65518998594485
"1645",0.121,0.65,-16.8235285362285,3.04289962905454,2.68860227784163
"1646",0.131,0.65,-16.8565634033541,3.07721259873152,2.71764488846988
"1647",0.141,0.65,-16.885643947421,3.10729754392627,2.74311458809506
"1648",0.151,0.65,-16.9114362522817,3.13388453887279,2.76562727791222
"1649",0.161,0.65,-16.9344655454285,3.15754598967079,2.78566609276278
"1650",0.171,0.65,-16.9551513685898,3.17873669713965,2.80361506886652
"1651",0.181,0.65,-16.9738327657919,3.19782238711519,2.81978314129999
"1652",0.191,0.65,-16.990786628069,3.21510037402357,2.83442153755169
"1653",0.201,0.65,-17.0062412602066,3.23081476034779,2.84773657975565
"1654",0.211,0.65,-17.0203865551854,3.24516777675818,2.85989924146489
"1655",0.221,0.65,-17.0333817228265,3.25832835390659,2.87105237484745
"1656",0.231,0.65,-17.045361229965,3.27043867991394,2.88131624183372
"1657",0.241,0.65,-17.0564394156828,3.28161927272682,2.89079279414228
"1658",0.251,0.65,-17.0667141131266,3.29197294403682,2.89956901910252
"1659",0.261,0.65,-17.0762695181488,3.30158792648113,2.90771957999988
"1660",0.271,0.65,-17.0851784809862,3.31054036254844,2.91530891805219
"1661",0.281,0.65,-17.0935043516986,3.31889630176211,2.92239293951017
"1662",0.291,0.65,-17.1013024773705,3.32671331557544,2.92902038012058
"1663",0.301,0.65,-17.1086214252708,3.33404181250807,2.93523391653705
"1664",0.311,0.65,-17.1155039886677,3.34092611634802,2.94107107766602
"1665",0.321,0.65,-17.1219880189906,3.34740535566607,2.94656499665167
"1666",0.331,0.65,-17.1281071182937,3.35351420200148,2.95174503502649
"1667",0.341,0.65,-17.1338912185987,3.3592834858729,2.95663730363566
"1668",0.351,0.65,-17.1393670690807,3.36474071353272,2.96126509968468
"1669",0.361,0.65,-17.144558647738,3.36991050260609,2.96564927522928
"1670",0.371,0.65,-17.1494875108437,3.3748149510689,2.96980854931581
"1671",0.381,0.65,-17.1541730908692,3.3794739511525,2.97375977356102
"1672",0.391,0.65,-17.1586329515228,3.38390545752016,2.97751815906664
"1673",0.401,0.65,-17.1628830069303,3.38812571729301,2.981097471072
"1674",0.411,0.65,-17.1669377106998,3.39214946810312,2.984510196566
"1675",0.421,0.65,-17.1708102195861,3.39599010923546,2.98776768913648
"1676",0.431,0.65,-17.1745125356457,3.39965985002562,2.99088029457996
"1677",0.441,0.65,-17.1780556301073,3.4031698389599,2.99385746018529
"1678",0.451,0.65,-17.1814495516426,3.40653027634042,2.9967078301122
"1679",0.461,0.65,-17.1847035212794,3.40975051290327,2.99943932888374
"1680",0.471,0.65,-17.1878260158416,3.41283913638957,3.00205923468435
"1681",0.481,0.65,-17.1908248414991,3.41580404775072,3.00457424388534
"1682",0.491,0.65,-17.19370719877,3.41865252840623,3.00699052799775
"1683",0.501,0.65,-17.1964797401092,3.42139129975549,3.00931378406882
"1684",0.001,0.67,-14.9264355104703,1.05617595746841,1.0430779727388
"1685",0.011,0.67,-15.4224829143428,1.53506957185664,1.42587058996679
"1686",0.021,0.67,-15.7739177012467,1.90594096258846,1.73239708662601
"1687",0.031,0.67,-16.0256387998767,2.18290775499153,1.96379350251501
"1688",0.041,0.67,-16.2112554021205,2.38862263654166,2.13648470400638
"1689",0.051,0.67,-16.3524118971404,2.5443759950661,2.26757735707534
"1690",0.061,0.67,-16.4628044759705,2.66524196047002,2.36947288237684
"1691",0.071,0.67,-16.5512435225307,2.76127085868732,2.45051990338865
"1692",0.081,0.67,-16.6235581159387,2.83917455036884,2.5163225905469
"1693",0.091,0.67,-16.6837222650675,2.90352456549076,2.57071014479869
"1694",0.101,0.67,-16.7345231957587,2.95751085609322,2.61636027920014
"1695",0.111,0.67,-16.7779666334621,3.0034135905196,2.65518998594485
"1696",0.121,0.67,-16.8155293668236,3.04289962905454,2.68860227784163
"1697",0.131,0.67,-16.8483210651402,3.07721259873152,2.71764488846988
"1698",0.141,0.67,-16.8771907262149,3.10729754392627,2.74311458809506
"1699",0.151,0.67,-16.9027984301677,3.13388453887279,2.76562727791222
