"","lambda","mu","prob","meanN","meanNb"
"671",1.01,1.21,-45.9631498497321,1.61990558393662,1.52891460972885
"672",0.01,1.23,-42.123985016001,1.00545734990796,1.00455644900706
"673",0.11,1.23,-42.4518830979842,1.06078965110932,1.05087974119941
"674",0.21,1.23,-42.7911150549472,1.11750027446782,1.0985813555489
"675",0.31,1.23,-43.1416222836693,1.17558557599701,1.14765764806927
"676",0.41,1.23,-43.5033356963925,1.235039658623,1.19810272168897
"677",0.51,1.23,-43.8761759159031,1.29585440665845,1.24990846073688
"678",0.61,1.23,-44.2600535190121,1.35801953268528,1.30306457786813
"679",0.71,1.23,-44.6548693257224,1.4215226358386,1.35755867246744
"680",0.81,1.23,-45.0605147306141,1.48634927003117,1.41337629914387
"681",0.91,1.23,-45.4768720721895,1.55248302016967,1.47050104447676
"682",1.01,1.23,-45.9038150351162,1.61990558393662,1.52891460972885
"683",0.01,1.25,-42.0777597033755,1.00545734990796,1.00455644900706
"684",0.11,1.25,-42.4045821628376,1.06078965110932,1.05087974119941
"685",0.21,1.25,-42.7427780435139,1.11750027446782,1.0985813555489
"686",0.31,1.25,-43.0922880007674,1.17558557599701,1.14765764806927
"687",0.41,1.25,-43.4530421843629,1.235039658623,1.19810272168897
"688",0.51,1.25,-43.8249604345586,1.29585440665845,1.24990846073688
"689",0.61,1.25,-44.2079525267554,1.35801953268528,1.30306457786813
"690",0.71,1.25,-44.6019184619784,1.4215226358386,1.35755867246744
"691",0.81,1.25,-45.0067487997112,1.48634927003117,1.41337629914387
"692",0.91,1.25,-45.4223250288104,1.55248302016967,1.47050104447676
"693",1.01,1.25,-45.8485199714242,1.61990558393662,1.52891460972885
"694",0.01,1.27,-42.0352597096219,1.00545734990796,1.00455644900706
"695",0.11,1.27,-42.3610274916657,1.06078965110932,1.05087974119941
"696",0.21,1.27,-42.6982075171517,1.11750027446782,1.0985813555489
"697",0.31,1.27,-43.0467397090498,1.17558557599701,1.14765764806927
"698",0.41,1.27,-43.4065534644302,1.235039658623,1.19810272168897
"699",0.51,1.27,-43.777567851537,1.29585440665845,1.24990846073688
"700",0.61,1.27,-44.1596918555727,1.35801953268528,1.30306457786813
"701",0.71,1.27,-44.5528246704592,1.4215226358386,1.35755867246744
"702",0.81,1.27,-44.9568560330817,1.48634927003117,1.41337629914387
"703",0.91,1.27,-45.3716665957306,1.55248302016967,1.47050104447676
"704",1.01,1.27,-45.7971283316517,1.61990558393662,1.52891460972885
"705",0.01,1.29,-41.9963697717758,1.00545734990796,1.00455644900706
"706",0.11,1.29,-42.3211068750825,1.06078965110932,1.05087974119941
"707",0.21,1.29,-42.6572942447083,1.11750027446782,1.0985813555489
"708",0.31,1.29,-43.0048710811863,1.17558557599701,1.14765764806927
"709",0.41,1.29,-43.3637660396668,1.235039658623,1.19810272168897
"710",0.51,1.29,-43.7338974279423,1.29585440665845,1.24990846073688
"711",0.61,1.29,-44.1151734533349,1.35801953268528,1.30306457786813
"712",0.71,1.29,-44.5074925156977,1.4215226358386,1.35755867246744
"713",0.81,1.29,-44.9107435430282,1.48634927003117,1.41337629914387
