"","prop","mu","prob","meanN","meanNb"
"390",0.94,0.87,-17.6118454972758,3.4852780059468,3.01429449162967
"391",0.95,0.87,-17.1991432333848,3.48605820696548,3.01496926007825
"392",0.96,0.87,-16.7907625385603,3.48682244886804,3.01563022604803
"393",0.97,0.87,-16.386613844174,3.48757121627365,3.0162778086691
"394",0.98,0.87,-15.9866103376536,3.48830497438032,3.01691241027487
"395",0.99,0.87,-15.5906678505569,3.4890241699279,3.01753441723495
"396",1,0.87,-15.1987047522704,3.48972923210449,3.01814420073902
"397",0.92,0.89,-18.4908419517609,3.48366768476924,3.01290178142205
"398",0.93,0.89,-18.0692162236965,3.48448134074769,3.0136054838899
"399",0.94,0.89,-17.6520999481433,3.4852780059468,3.01429449162967
"400",0.95,0.89,-17.2393976842524,3.48605820696548,3.01496926007825
"401",0.96,0.89,-16.8310169894279,3.48682244886804,3.01563022604803
"402",0.97,0.89,-16.4268682950415,3.48757121627365,3.0162778086691
"403",0.98,0.89,-16.0268647885212,3.48830497438032,3.01691241027487
"404",0.99,0.89,-15.6309223014245,3.4890241699279,3.01753441723495
"405",1,0.89,-15.2389592031379,3.48972923210449,3.01814420073902
"406",0.92,0.91,-18.5320621424921,3.48366768476924,3.01290178142205
"407",0.93,0.91,-18.1104364144277,3.48448134074769,3.0136054838899
"408",0.94,0.91,-17.6933201388745,3.4852780059468,3.01429449162967
"409",0.95,0.91,-17.2806178749835,3.48605820696548,3.01496926007825
"410",0.96,0.91,-16.872237180159,3.48682244886804,3.01563022604803
"411",0.97,0.91,-16.4680884857727,3.48757121627365,3.0162778086691
"412",0.98,0.91,-16.0680849792523,3.48830497438032,3.01691241027487
"413",0.99,0.91,-15.6721424921556,3.4890241699279,3.01753441723495
"414",1,0.91,-15.2801793938691,3.48972923210449,3.01814420073902
"415",0.92,0.93,-18.5741230759839,3.48366768476924,3.01290178142205
"416",0.93,0.93,-18.1524973479195,3.48448134074769,3.0136054838899
"417",0.94,0.93,-17.7353810723663,3.4852780059468,3.01429449162967
"418",0.95,0.93,-17.3226788084754,3.48605820696548,3.01496926007825
"419",0.96,0.93,-16.9142981136509,3.48682244886804,3.01563022604803
"420",0.97,0.93,-16.5101494192646,3.48757121627365,3.0162778086691
"421",0.98,0.93,-16.1101459127442,3.48830497438032,3.01691241027487
"422",0.99,0.93,-15.7142034256475,3.4890241699279,3.01753441723495
"423",1,0.93,-15.3222403273609,3.48972923210449,3.01814420073902
"424",0.92,0.95,-18.6169416704029,3.48366768476924,3.01290178142205
"425",0.93,0.95,-18.1953159423385,3.48448134074769,3.0136054838899
"426",0.94,0.95,-17.7781996667853,3.4852780059468,3.01429449162967
"427",0.95,0.95,-17.3654974028944,3.48605820696548,3.01496926007825
"428",0.96,0.95,-16.9571167080698,3.48682244886804,3.01563022604803
"429",0.97,0.95,-16.5529680136835,3.48757121627365,3.0162778086691
"430",0.98,0.95,-16.1529645071631,3.48830497438032,3.01691241027487
"431",0.99,0.95,-15.7570220200664,3.4890241699279,3.01753441723495
"432",1,0.95,-15.3650589217799,3.48972923210449,3.01814420073902
"433",0.92,0.97,-18.6605326812947,3.48366768476924,3.01290178142205
"434",0.93,0.97,-18.2389069532303,3.48448134074769,3.0136054838899
"435",0.94,0.97,-17.8217906776771,3.4852780059468,3.01429449162967
"436",0.95,0.97,-17.4090884137862,3.48605820696548,3.01496926007825
"437",0.96,0.97,-17.0007077189617,3.48682244886804,3.01563022604803
"438",0.97,0.97,-16.5965590245753,3.48757121627365,3.0162778086691
"439",0.98,0.97,-16.196555518055,3.48830497438032,3.01691241027487
"440",0.99,0.97,-15.8006130309583,3.4890241699279,3.01753441723495
"441",1,0.97,-15.4086499326717,3.48972923210449,3.01814420073902
"442",0.92,0.99,-18.7048456804621,3.48366768476924,3.01290178142205
"443",0.93,0.99,-18.2832199523977,3.48448134074769,3.0136054838899
"444",0.94,0.99,-17.8661036768446,3.4852780059468,3.01429449162967
"445",0.95,0.99,-17.4534014129536,3.48605820696548,3.01496926007825
"446",0.96,0.99,-17.0450207181291,3.48682244886804,3.01563022604803
"447",0.97,0.99,-16.6408720237428,3.48757121627365,3.0162778086691
"448",0.98,0.99,-16.2408685172224,3.48830497438032,3.01691241027487
"449",0.99,0.99,-15.8449260301257,3.4890241699279,3.01753441723495
"450",1,0.99,-15.4529629318392,3.48972923210449,3.01814420073902
"451",0.92,1.01,-18.7498340581092,3.48366768476924,3.01290178142205
"452",0.93,1.01,-18.3282083300448,3.48448134074769,3.0136054838899
"453",0.94,1.01,-17.9110920544916,3.4852780059468,3.01429449162967
"454",0.95,1.01,-17.4983897906006,3.48605820696548,3.01496926007825
"455",0.96,1.01,-17.0900090957761,3.48682244886804,3.01563022604803
"456",0.97,1.01,-16.6858604013898,3.48757121627365,3.0162778086691
"457",0.98,1.01,-16.2858568948694,3.48830497438032,3.01691241027487
"458",0.99,1.01,-15.8899144077727,3.4890241699279,3.01753441723495
"459",1,1.01,-15.4979513094862,3.48972923210449,3.01814420073902
"460",0.92,1.03,-18.7954546964666,3.48366768476924,3.01290178142205
"461",0.93,1.03,-18.3738289684022,3.48448134074769,3.0136054838899
"462",0.94,1.03,-17.956712692849,3.4852780059468,3.01429449162967
"463",0.95,1.03,-17.5440104289581,3.48605820696548,3.01496926007825
"464",0.96,1.03,-17.1356297341335,3.48682244886804,3.01563022604803
"465",0.97,1.03,-16.7314810397472,3.48757121627365,3.0162778086691
"466",0.98,1.03,-16.3314775332269,3.48830497438032,3.01691241027487
"467",0.99,1.03,-15.9355350461301,3.4890241699279,3.01753441723495
"468",1,1.03,-15.5435719478436,3.48972923210449,3.01814420073902
"469",0.92,1.05,-18.8416676757216,3.48366768476924,3.01290178142205
"470",0.93,1.05,-18.4200419476572,3.48448134074769,3.0136054838899
"471",0.94,1.05,-18.002925672104,3.4852780059468,3.01429449162967
"472",0.95,1.05,-17.590223408213,3.48605820696548,3.01496926007825
"473",0.96,1.05,-17.1818427133885,3.48682244886804,3.01563022604803
"474",0.97,1.05,-16.7776940190022,3.48757121627365,3.0162778086691
"475",0.98,1.05,-16.3776905124818,3.48830497438032,3.01691241027487
"476",0.99,1.05,-15.9817480253851,3.4890241699279,3.01753441723495
"477",1,1.05,-15.5897849270986,3.48972923210449,3.01814420073902
"478",0.92,1.07,-18.888436008558,3.48366768476924,3.01290178142205
"479",0.93,1.07,-18.4668102804936,3.48448134074769,3.0136054838899
"480",0.94,1.07,-18.0496940049404,3.4852780059468,3.01429449162967
"481",0.95,1.07,-17.6369917410495,3.48605820696548,3.01496926007825
"482",0.96,1.07,-17.228611046225,3.48682244886804,3.01563022604803
"483",0.97,1.07,-16.8244623518387,3.48757121627365,3.0162778086691
"484",0.98,1.07,-16.4244588453183,3.48830497438032,3.01691241027487
"485",0.99,1.07,-16.0285163582216,3.4890241699279,3.01753441723495
"486",1,1.07,-15.636553259935,3.48972923210449,3.01814420073902
"487",0.92,1.09,-18.935725400096,3.48366768476924,3.01290178142205
"488",0.93,1.09,-18.5140996720316,3.48448134074769,3.0136054838899
"489",0.94,1.09,-18.0969833964784,3.4852780059468,3.01429449162967
"490",0.95,1.09,-17.6842811325875,3.48605820696548,3.01496926007825
"491",0.96,1.09,-17.2759004377629,3.48682244886804,3.01563022604803
"492",0.97,1.09,-16.8717517433766,3.48757121627365,3.0162778086691
"493",0.98,1.09,-16.4717482368562,3.48830497438032,3.01691241027487
"494",0.99,1.09,-16.0758057497595,3.4890241699279,3.01753441723495
"495",1,1.09,-15.683842651473,3.48972923210449,3.01814420073902
"496",0.92,1.11,-18.9835040304279,3.48366768476924,3.01290178142205
"497",0.93,1.11,-18.5618783023635,3.48448134074769,3.0136054838899
"498",0.94,1.11,-18.1447620268103,3.4852780059468,3.01429449162967
"499",0.95,1.11,-17.7320597629193,3.48605820696548,3.01496926007825
"500",0.96,1.11,-17.3236790680948,3.48682244886804,3.01563022604803
"501",0.97,1.11,-16.9195303737085,3.48757121627365,3.0162778086691
"502",0.98,1.11,-16.5195268671881,3.48830497438032,3.01691241027487
"503",0.99,1.11,-16.1235843800914,3.4890241699279,3.01753441723495
"504",1,1.11,-15.7316212818049,3.48972923210449,3.01814420073902
"505",0.92,1.13,-19.0317423573015,3.48366768476924,3.01290178142205
"506",0.93,1.13,-18.6101166292371,3.48448134074769,3.0136054838899
"507",0.94,1.13,-18.193000353684,3.4852780059468,3.01429449162967
"508",0.95,1.13,-17.780298089793,3.48605820696548,3.01496926007825
"509",0.96,1.13,-17.3719173949685,3.48682244886804,3.01563022604803
"510",0.97,1.13,-16.9677687005822,3.48757121627365,3.0162778086691
"511",0.98,1.13,-16.5677651940618,3.48830497438032,3.01691241027487
"512",0.99,1.13,-16.1718227069651,3.4890241699279,3.01753441723495
"513",1,1.13,-15.7798596086786,3.48972923210449,3.01814420073902
"514",0.92,1.15,-19.080412936802,3.48366768476924,3.01290178142205
"515",0.93,1.15,-18.6587872087376,3.48448134074769,3.0136054838899
"516",0.94,1.15,-18.2416709331844,3.4852780059468,3.01429449162967
"517",0.95,1.15,-17.8289686692934,3.48605820696548,3.01496926007825
"518",0.96,1.15,-17.4205879744689,3.48682244886804,3.01563022604803
"519",0.97,1.15,-17.0164392800826,3.48757121627365,3.0162778086691
"520",0.98,1.15,-16.6164357735622,3.48830497438032,3.01691241027487
"521",0.99,1.15,-16.2204932864655,3.4890241699279,3.01753441723495
"522",1,1.15,-15.828530188179,3.48972923210449,3.01814420073902
"523",0.92,1.17,-19.1294902601439,3.48366768476924,3.01290178142205
"524",0.93,1.17,-18.7078645320795,3.48448134074769,3.0136054838899
"525",0.94,1.17,-18.2907482565263,3.4852780059468,3.01429449162967
