"","prop","mu","prob","meanN","meanNb"
"105",0.97,0.23,-59.9742807612095,3.44474128638196,3.13440423355476
"106",0.98,0.23,-59.4409427525157,3.44547234126062,3.13506942763354
"107",0.99,0.23,-58.9130194363867,3.44618889135012,3.13572142366092
"108",1,0.23,-58.3904019720046,3.44689136401487,3.13636061050002
"109",0.92,0.25,-61.5485520124798,3.44085220723295,3.13086552189665
"110",0.93,0.25,-60.9863843750606,3.44166284082681,3.131603125437
"111",0.94,0.25,-60.4302293409897,3.4424565518185,3.13232533093395
"112",0.95,0.25,-59.8799596558018,3.44323386453746,3.13303261548003
"113",0.96,0.25,-59.3354520627025,3.44399528187771,3.1337254366635
"114",0.97,0.25,-58.796587136854,3.44474128638196,3.13440423355476
"115",0.98,0.25,-58.2632491281602,3.44547234126062,3.13506942763354
"116",0.99,0.25,-57.7353258120313,3.44618889135012,3.13572142366092
"117",1,0.25,-57.2127083476492,3.44689136401487,3.13636061050002
"118",0.92,0.27,-60.4839000786157,3.44085220723295,3.13086552189665
"119",0.93,0.27,-59.9217324411965,3.44166284082681,3.131603125437
"120",0.94,0.27,-59.3655774071256,3.4424565518185,3.13232533093395
"121",0.95,0.27,-58.8153077219377,3.44323386453746,3.13303261548003
"122",0.96,0.27,-58.2708001288383,3.44399528187771,3.1337254366635
"123",0.97,0.27,-57.7319352029899,3.44474128638196,3.13440423355476
"124",0.98,0.27,-57.1985971942961,3.44547234126062,3.13506942763354
"125",0.99,0.27,-56.6706738781672,3.44618889135012,3.13572142366092
"126",1,0.27,-56.1480564137851,3.44689136401487,3.13636061050002
"127",0.92,0.29,-59.5158135568702,3.44085220723295,3.13086552189665
"128",0.93,0.29,-58.953645919451,3.44166284082681,3.131603125437
"129",0.94,0.29,-58.3974908853801,3.4424565518185,3.13232533093395
"130",0.95,0.29,-57.8472212001922,3.44323386453746,3.13303261548003
"131",0.96,0.29,-57.3027136070928,3.44399528187771,3.1337254366635
