"","lambda","mu","prob","meanN","meanNb"
"789",0.81,0.61,-15.5235113102034,1.50029548587561,1.3908360296551
"790",0.91,0.61,-15.6378857534411,1.56757891050187,1.44460594727907
"791",1.01,0.61,-15.7577105543693,1.63603434382549,1.49954788331629
"792",1.11,0.61,-15.8829091742391,1.70564521784512,1.55564528052536
"793",1.21,0.61,-16.0134013027803,1.7763935045119,1.61288013031944
"794",1.31,0.61,-16.1491030969961,1.84825976717523,1.67123302913749
"795",1.41,0.61,-16.2899274246216,1.92122320384276,1.73068322838428
"796",1.51,0.61,-16.4357841088775,1.99526167944473,1.79120867539204
"797",1.61,0.61,-16.5865801711538,2.07035174463735,1.85278604314944
"798",1.71,0.61,-16.7422200683605,2.146468639184,1.91539074697708
"799",1.81,0.61,-16.902605921894,2.22358627859606,1.97899694688396
"800",1.91,0.61,-17.0676377354721,2.30167722346778,2.04357753499214
"801",2.01,0.61,-17.237213599489,2.3807126317644,2.10910410813457
"802",2.11,0.61,-17.4112298800116,2.46066219518187,2.17554692648043
"803",2.21,0.61,-17.5895813910656,2.54149406154718,2.24287485978694
"804",2.31,0.61,-17.7721615494206,2.6231747460309,2.31105532358075
"805",2.41,0.61,-17.9588625116631,2.70566903465986,2.38005420820353
"806",2.51,0.61,-18.1495752939104,2.78893988421506,2.44983580418542
"807",0.01,0.63,-14.8306193229411,1.00568190892819,1.00433055757684
"808",0.11,0.63,-14.8966669193855,1.06318654318079,1.04832167831593
"809",0.21,0.63,-14.9687042043857,1.12193654690698,1.09355816852861
"810",0.31,0.63,-15.0466902874085,1.18192894492939,1.14003705303779
"811",0.41,0.63,-15.1305790661257,1.24315892058566,1.18775351518481
"812",0.51,0.63,-15.2203193331724,1.30561984115129,1.23670092227044
"813",0.61,0.63,-15.3158549065179,1.3693032923702,1.28687086015254
"814",0.71,0.63,-15.4171247821863,1.43419912125148,1.33825317622774
"815",0.81,0.63,-15.5240633077497,1.50029548587561,1.3908360296551
"816",0.91,0.63,-15.6366003746907,1.56757891050187,1.44460594727907
